Level	Rule Name	Subject	Property	Value
INFO	missing_superclass	CL:0002355	rdfs:subClassOf		
INFO	missing_superclass	CL:0002563	rdfs:subClassOf		
INFO	missing_superclass	CL:1001573	rdfs:subClassOf		
INFO	missing_superclass	CL:2000008	rdfs:subClassOf		
INFO	missing_superclass	IDO:0000528	rdfs:subClassOf		
INFO	missing_superclass	IDO:0000531	rdfs:subClassOf		
INFO	missing_superclass	INO:0000002	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:10026	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:10045	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:10047	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:10090	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:10114	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:10150	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:10239	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:10796	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:11598	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:117565	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:163159	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:1773	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:2	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:234	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:3879	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:44689	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:6239	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:7091	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:7137	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:7227	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:7955	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:8015	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:8022	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:80614	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:85061	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:9005	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:9031	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:9527	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:9606	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:9669	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:9823	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:9913	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:9940	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon:9986	rdfs:subClassOf		
INFO	missing_superclass	OBI:0100026	rdfs:subClassOf		
INFO	missing_superclass	OGG:0000000002	rdfs:subClassOf		
